,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
78,13.0,0.0,51.0,0.0,4.908729783108543,9.729507111180987e-16
79,22.0,0.0,100.0,0.0,-15.879125306666278,7.944109290391273e-16
80,11.0,0.0,100.0,0.0,-20.281487389062264,0.0
81,3.0,0.0,100.0,0.0,-16.748641398051912,0.0
82,0.0,0.0,16.0,0.0,11.86026311584046,0.0
83,0.0,0.0,12.0,0.0,12.518982602994669,0.0
84,0.0,0.0,14.0,0.0,12.5059741913004,1.9459014222361975e-15
85,0.0,0.0,18.0,0.0,11.43210700101949,0.0
86,0.0,0.0,15.0,0.0,12.445645554077432,0.0
87,0.0,0.0,13.0,0.0,12.658814223515453,1.9459014222361975e-15
88,0.0,0.0,12.0,0.0,12.99215168772648,7.944109290391273e-16
89,4.0,0.0,100.0,0.0,-18.06932412888809,3.891802844472395e-15
90,0.0,0.0,15.0,0.0,11.97718249342076,1.9459014222361975e-15
91,0.0,0.0,14.0,0.0,12.522851642042976,1.9459014222361975e-15
92,47.0,0.0,100.0,0.0,-17.276750602754507,0.0
93,0.0,0.0,10.0,0.0,12.920724118287348,1.7763568394002505e-15
94,0.0,0.0,13.0,0.0,12.670107635048716,0.0
95,5.0,0.0,100.0,0.0,-20.832210879271884,0.0
96,14.0,0.0,100.0,0.0,-19.368773194537024,0.0
97,26.0,0.0,100.0,0.0,-20.5781460168252,0.0
98,3.0,0.0,100.0,0.0,-19.276725621584635,0.0
99,0.0,0.0,13.0,0.0,12.322915480339692,1.9459014222361975e-15
100,0.0,0.0,100.0,0.0,-20.183314507966976,3.891802844472395e-15
101,0.0,0.0,24.0,0.0,10.368694200809102,0.0
102,0.0,0.0,100.0,0.0,-18.040927154009328,0.0
103,0.0,0.0,15.0,0.0,12.03429452730908,0.0
104,0.0,0.0,100.0,0.0,-16.313825208709094,0.0
105,0.0,0.0,22.0,0.0,11.852742574016558,0.0
106,0.0,0.0,13.0,0.0,12.993805930637578,0.0
107,0.0,0.0,12.0,0.0,12.518021066574128,0.0
